record_id,timestamp,warehouse_id,zone_id,rack_id,product_id,rfid_read_count,inventory_level,inventory_movement,incoming_items,outgoing_items,inventory_accuracy_pct,forecasted_demand,storage_utilization_pct,storage_allocation_score,available_storage_space_pct,order_queue_length,order_picking_time_min,packing_time_min,order_completion_time_min,conveyor_speed_mps,conveyor_vibration_mmps,motor_temperature_c,equipment_load_pct,energy_consumption_kwh,machine_runtime_hr,sensor_battery_pct,equipment_health_index,maintenance_alert,worker_count,worker_movement_index,forklift_count,forklift_utilization_pct,congestion_level_pct,obstacle_detection,safety_compliance_pct,warehouse_activity_score,temperature_c,humidity_pct,air_quality_index,dust_level_ugm3,lighting_lux,noise_level_db,predicted_equipment_failure,resource_utilization_pct,warehouse_operation_status
11,2024-08-18 08:48:00,WH_04,Zone_F,RACK_036,PROD_00534,258,270,248,156,18,94.55,664,76.09,88.73,23.65,51,5.53,10.53,17.1,2.78,4.26,32.46,54.01,233.02,23.2,63.85,57.26,Yes,59,0.3,5,84.11,66.76,Not Detected,98.5,90.23,27.8,63.77,149,28.47,861,61.75,0.159,93.07,Optimized
12,2024-12-13 12:46:00,WH_03,Zone_D,RACK_017,PROD_00547,23,661,127,70,112,90.77,312,57.66,73.43,53.69,10,3.78,5.01,14.65,2.65,0.45,53.53,63.41,441.72,8.93,56.51,95.72,Yes,59,0.9,13,58.16,94.27,Not Detected,92.6,86.81,33.25,51.76,76,31.85,579,61.15,0.029,66.81,Optimized
13,2024-11-06 19:47:00,WH_02,Zone_B,RACK_040,PROD_00111,23,423,293,169,6,90.84,458,52.33,78.47,3.97,48,6.9,7.91,18.17,3.15,1.6,91.58,53.73,806.37,13.94,81.18,57.34,No,19,0.72,2,80.34,94.96,Detected,95.18,65.92,21.82,53.94,49,36.02,523,62.9,0.256,68.44,Optimized
14,2024-10-30 08:20:00,WH_04,Zone_A,RACK_036,PROD_00462,134,339,299,173,96,93.97,752,55.71,83.68,50.0,31,3.18,12.04,22.17,2.34,0.75,93.87,82.61,382.07,13.14,52.79,77.77,No,5,0.88,16,28.44,96.08,Not Detected,91.22,49.19,29.74,73.62,89,38.88,851,81.48,0.465,91.29,Optimized
15,2024-12-25 14:17:00,WH_05,Zone_C,RACK_030,PROD_00124,108,788,242,145,156,96.68,364,46.55,94.04,11.73,27,7.35,5.36,15.67,2.33,4.85,63.91,61.33,246.22,9.59,55.48,79.98,Yes,49,0.58,16,55.85,1.72,Not Detected,76.65,72.26,22.9,58.26,141,35.44,652,60.53,0.746,66.54,Optimized
16,2024-01-28 04:09:00,WH_10,Zone_C,RACK_011,PROD_00255,70,343,66,137,176,91.85,241,84.88,71.06,35.79,67,11.35,14.75,32.93,1.46,2.05,46.16,76.64,190.13,5.86,29.09,68.15,Yes,45,0.89,16,28.21,1.23,Not Detected,84.08,49.64,20.95,37.06,142,11.27,366,59.04,0.074,81.47,Optimized
17,2024-12-04 06:27:00,WH_02,Zone_E,RACK_029,PROD_00153,146,591,218,155,152,97.91,251,86.89,75.22,54.6,38,15.69,14.87,33.7,2.4,3.39,76.81,95.81,260.78,9.01,74.53,62.07,Yes,40,0.26,1,52.68,68.94,Not Detected,78.74,30.83,29.31,63.12,136,8.91,539,90.43,0.788,81.25,Optimized
18,2024-02-16 15:22:00,WH_07,Zone_C,RACK_042,PROD_00108,92,866,77,18,15,91.66,334,77.13,92.97,55.35,56,3.55,10.95,20.4,3.33,2.8,59.57,26.44,114.68,13.21,49.17,66.27,Yes,19,0.97,1,99.97,67.23,Not Detected,87.29,78.68,20.8,55.76,133,55.38,485,94.82,0.436,90.71,Optimized
19,2024-02-28 14:07:00,WH_03,Zone_D,RACK_038,PROD_00522,149,357,215,177,126,92.88,430,88.93,82.0,27.83,40,5.66,3.51,15.58,3.11,4.55,25.08,89.55,481.92,6.03,63.88,83.02,No,45,0.55,2,36.28,54.92,Not Detected,83.14,72.84,19.94,73.93,81,44.04,618,68.05,0.552,54.66,Optimized
20,2024-07-14 12:42:00,WH_03,Zone_D,RACK_005,PROD_00130,267,445,252,120,62,94.57,168,65.71,96.87,30.99,17,15.76,5.59,27.88,1.8,5.14,60.54,85.64,326.07,10.67,69.02,99.95,No,60,0.32,18,58.75,33.24,Not Detected,83.66,38.96,21.02,62.9,118,17.85,720,37.62,0.745,85.26,Optimized
21,2024-05-30 11:23:00,WH_07,Zone_B,RACK_032,PROD_00544,220,624,174,25,112,91.0,487,45.83,65.77,52.39,19,2.73,12.16,17.75,2.41,2.25,30.62,46.29,666.69,15.14,96.56,83.21,No,60,0.63,3,38.78,68.44,Not Detected,99.92,77.21,24.94,38.94,45,29.4,606,89.21,0.046,89.81,Optimized
22,2024-01-05 18:55:00,WH_01,Zone_E,RACK_064,PROD_00294,127,599,97,43,44,90.79,411,78.46,69.63,54.86,18,5.33,10.29,19.84,2.53,4.95,57.57,43.01,555.54,6.4,95.89,99.44,No,45,0.97,9,56.55,30.21,Not Detected,95.6,19.6,24.1,49.36,95,59.6,602,36.32,0.83,69.79,Optimized
23,2024-12-12 23:43:00,WH_07,Zone_E,RACK_047,PROD_00093,212,641,185,56,162,91.9,276,81.6,88.84,39.89,17,11.87,13.74,31.13,1.5,2.48,65.57,78.59,158.42,10.61,81.06,62.9,Yes,55,0.63,12,62.47,91.35,Detected,77.71,84.22,25.71,67.26,106,49.23,779,92.77,0.141,98.33,Optimized
24,2024-11-11 13:17:00,WH_01,Zone_F,RACK_048,PROD_00223,237,34,140,137,31,94.55,708,85.45,70.49,23.48,47,3.29,5.04,9.51,3.16,3.13,89.07,37.71,135.0,20.65,93.2,68.6,No,12,0.31,2,44.35,49.26,Detected,77.04,58.38,24.22,49.84,127,37.3,458,88.12,0.655,91.68,Optimized
25,2024-01-14 04:00:00,WH_06,Zone_B,RACK_076,PROD_00332,18,475,125,92,25,99.81,396,74.4,99.11,22.16,50,6.05,14.59,28.28,2.99,0.6,39.85,71.16,924.85,5.96,50.01,99.5,Yes,9,0.86,18,36.57,21.6,Detected,79.86,23.28,32.41,35.11,57,59.31,853,50.04,0.174,83.05,Optimized
26,2024-02-20 22:07:00,WH_09,Zone_F,RACK_028,PROD_00441,241,198,140,13,32,97.42,558,51.14,62.54,27.45,46,9.97,3.42,17.92,3.34,0.33,79.83,89.36,533.66,13.7,97.3,57.74,No,59,0.52,4,59.22,90.97,Detected,96.98,38.99,20.37,40.05,103,25.95,911,66.83,0.454,80.27,Optimized
27,2024-02-25 11:54:00,WH_09,Zone_C,RACK_015,PROD_00286,125,253,216,86,116,93.99,767,50.13,77.07,40.24,47,17.23,10.93,32.48,0.86,0.56,55.23,79.57,404.2,7.47,29.5,98.05,No,47,0.3,12,89.89,94.11,Not Detected,96.04,74.9,33.49,59.02,110,10.7,819,47.76,0.657,61.21,Optimized
28,2024-08-05 15:38:00,WH_08,Zone_D,RACK_035,PROD_00221,272,846,224,143,159,96.14,678,75.06,84.36,39.81,34,1.98,5.55,13.87,3.27,2.0,37.7,31.46,651.89,6.32,80.57,98.73,Yes,52,0.62,13,53.59,34.09,Not Detected,79.35,39.19,33.06,58.85,33,13.56,932,37.99,0.082,72.16,Optimized
29,2024-05-28 03:25:00,WH_01,Zone_C,RACK_022,PROD_00472,195,136,181,110,28,92.83,714,77.03,81.08,19.2,28,8.02,9.79,18.86,1.47,1.24,34.61,40.44,365.47,5.15,81.03,62.91,No,39,0.76,17,64.7,66.8,Not Detected,72.16,87.56,18.68,35.75,39,52.42,889,60.76,0.404,82.01,Optimized
30,2024-11-17 10:09:00,WH_08,Zone_A,RACK_061,PROD_00453,165,110,228,27,62,94.36,430,73.29,75.83,19.31,43,5.16,12.13,18.82,2.44,2.97,38.57,82.1,385.46,23.21,73.41,61.65,Yes,14,0.4,6,68.19,76.02,Detected,75.31,79.56,25.91,65.18,134,42.46,878,73.58,0.987,66.16,Optimized
31,2024-07-05 11:58:00,WH_05,Zone_D,RACK_053,PROD_00347,36,835,145,151,14,93.52,95,61.76,78.08,4.36,36,2.77,13.24,23.0,2.38,2.84,57.39,64.35,768.88,22.02,58.73,91.44,Yes,25,0.68,17,32.07,6.19,Detected,94.33,85.36,33.72,38.37,64,7.15,748,94.46,0.524,80.49,Optimized
32,2024-09-16 17:53:00,WH_09,Zone_A,RACK_044,PROD_00135,202,828,176,16,84,90.95,714,65.87,70.08,51.24,19,7.0,9.58,18.57,1.61,5.33,73.89,51.36,597.69,22.82,48.22,71.95,No,57,0.3,17,27.48,67.05,Not Detected,70.55,37.8,33.22,48.67,144,15.56,440,44.3,0.296,89.41,Optimized
33,2024-02-22 22:54:00,WH_09,Zone_A,RACK_037,PROD_00086,92,177,88,46,177,97.71,848,93.74,88.85,3.58,46,12.66,5.09,21.86,1.43,4.14,56.42,62.72,349.24,20.36,60.18,92.58,No,48,0.96,15,56.93,28.18,Not Detected,85.09,47.68,20.59,42.99,55,53.02,353,73.47,0.874,77.73,Optimized
34,2024-06-03 03:03:00,WH_04,Zone_D,RACK_080,PROD_00469,42,299,235,131,37,98.31,113,96.11,68.88,27.62,44,16.85,7.39,28.02,1.68,2.19,30.71,37.96,357.26,6.88,78.6,70.09,Yes,13,0.23,16,75.69,13.88,Not Detected,83.46,10.47,19.27,45.24,58,35.18,923,66.67,0.111,64.41,Optimized
35,2024-11-25 05:53:00,WH_08,Zone_F,RACK_062,PROD_00187,79,133,260,152,137,90.16,547,76.05,88.74,18.19,0,11.64,5.13,20.69,2.53,0.56,93.23,25.41,537.67,14.64,99.12,79.94,No,60,0.58,13,98.48,25.37,Detected,80.71,16.08,21.86,61.28,46,47.43,640,43.0,0.352,66.93,Optimized
36,2024-02-22 02:20:00,WH_05,Zone_C,RACK_058,PROD_00437,95,84,239,9,75,92.02,830,55.77,61.68,56.07,65,8.07,12.6,24.98,0.71,3.59,45.03,88.97,121.59,17.46,45.49,90.97,No,30,0.79,13,47.12,18.68,Not Detected,81.02,81.76,22.27,38.3,128,9.34,916,94.71,0.18,64.69,Optimized
37,2024-09-12 16:24:00,WH_09,Zone_A,RACK_034,PROD_00267,238,726,232,89,114,90.42,381,78.2,77.4,38.73,7,2.74,10.29,16.57,2.92,3.77,91.7,31.42,608.59,19.84,27.61,58.03,No,28,0.51,2,68.41,67.91,Not Detected,81.16,78.68,27.18,56.18,121,22.29,585,49.98,0.113,86.78,Optimized
38,2024-07-22 22:46:00,WH_08,Zone_E,RACK_053,PROD_00420,47,239,151,177,125,92.0,158,91.05,78.08,54.02,56,17.95,12.54,38.26,3.46,3.71,74.67,64.0,332.62,10.7,36.81,86.93,Yes,55,0.49,8,29.71,20.1,Detected,77.1,54.46,23.77,57.89,139,49.2,864,42.79,0.884,53.29,Optimized
39,2024-11-05 10:53:00,WH_10,Zone_A,RACK_004,PROD_00084,33,148,167,164,18,94.5,716,72.94,65.13,49.91,70,12.06,4.37,24.19,1.85,5.02,28.88,29.93,213.12,8.13,49.2,86.92,No,38,0.92,3,40.05,63.51,Not Detected,73.76,37.25,26.54,55.1,63,37.55,894,44.25,0.659,86.03,Optimized
40,2024-07-15 19:26:00,WH_04,Zone_B,RACK_042,PROD_00592,170,676,300,67,166,92.11,605,67.5,85.56,30.38,69,6.28,14.44,25.1,2.93,3.8,45.82,25.84,132.12,13.35,61.32,64.18,Yes,25,0.89,11,78.74,86.08,Not Detected,73.92,43.35,26.99,47.76,139,11.74,760,49.88,0.097,64.51,Optimized
41,2024-07-20 11:50:00,WH_06,Zone_E,RACK_047,PROD_00148,111,214,86,127,131,94.67,335,71.86,63.6,24.2,58,17.45,4.8,25.72,0.75,2.77,86.76,72.34,489.41,15.2,88.54,74.39,No,51,0.49,13,49.27,40.06,Detected,80.88,35.97,24.18,53.01,91,50.39,938,75.82,0.119,98.75,Optimized
42,2024-10-22 07:46:00,WH_01,Zone_E,RACK_062,PROD_00175,278,636,265,102,128,90.4,59,52.4,73.32,28.95,58,3.96,13.61,19.55,3.3,1.82,52.51,69.32,813.06,16.28,63.05,77.94,No,50,0.65,16,85.26,36.84,Detected,99.4,62.53,30.75,64.01,26,37.83,571,93.02,0.783,88.81,Optimized
43,2024-06-01 09:45:00,WH_04,Zone_F,RACK_063,PROD_00325,255,664,199,37,174,92.42,606,96.2,64.4,2.12,40,8.41,7.37,18.21,2.06,3.4,58.01,87.87,712.84,18.41,63.9,80.24,No,38,0.5,6,56.77,53.31,Not Detected,90.28,88.09,28.89,67.15,87,38.55,496,92.44,0.279,64.92,Optimized
44,2024-07-27 20:59:00,WH_08,Zone_D,RACK_026,PROD_00295,174,377,291,70,73,91.22,712,74.33,95.83,24.28,44,17.25,12.46,32.74,1.43,3.96,49.25,55.39,303.11,14.1,40.16,79.24,No,13,0.29,8,39.4,66.98,Detected,89.14,14.72,24.61,63.69,45,42.47,440,35.31,0.55,96.45,Optimized
45,2024-06-21 09:36:00,WH_04,Zone_B,RACK_079,PROD_00416,228,312,35,22,166,95.74,567,84.89,94.01,3.2,22,8.4,12.89,28.83,0.71,4.62,80.16,34.9,731.63,21.57,46.71,56.69,No,41,0.68,11,42.76,98.91,Not Detected,96.68,22.08,26.07,45.91,48,23.19,769,73.9,0.719,50.7,Optimized
46,2024-07-10 13:44:00,WH_09,Zone_D,RACK_069,PROD_00224,136,547,172,22,102,96.69,209,98.01,79.1,56.21,0,5.8,5.06,17.14,3.37,1.73,75.6,20.91,648.7,18.16,29.66,60.32,No,15,0.52,17,93.85,88.78,Not Detected,90.71,67.48,33.05,49.7,76,17.05,436,63.69,0.455,99.44,Optimized
47,2024-10-04 01:59:00,WH_02,Zone_D,RACK_005,PROD_00294,219,716,46,134,114,95.28,390,49.22,82.57,4.64,70,16.4,4.63,25.79,1.08,4.71,55.93,74.42,703.72,14.29,92.42,75.05,Yes,34,0.31,14,56.54,5.77,Not Detected,90.18,37.74,18.35,45.18,20,46.02,892,39.38,0.424,85.02,Optimized
48,2024-01-09 07:13:00,WH_02,Zone_A,RACK_077,PROD_00035,238,204,74,164,165,99.64,403,98.61,75.3,52.31,48,7.7,10.88,24.21,2.16,3.63,49.34,34.28,547.41,15.05,79.59,65.02,Yes,53,0.22,10,57.04,71.91,Not Detected,85.96,84.1,21.96,48.85,90,15.37,415,36.93,0.66,80.75,Optimized
49,2024-04-04 17:30:00,WH_04,Zone_B,RACK_039,PROD_00148,247,632,29,62,11,94.02,259,74.15,90.18,46.79,17,9.81,5.76,22.28,2.72,1.82,66.85,73.8,358.98,10.73,35.74,84.71,Yes,31,0.44,2,64.54,59.17,Detected,88.78,48.45,25.93,73.89,117,48.22,626,76.78,0.408,64.99,Optimized
50,2024-06-13 09:24:00,WH_08,Zone_E,RACK_046,PROD_00316,143,79,292,105,106,95.57,157,65.97,70.2,20.49,10,16.72,13.01,31.38,2.7,1.13,43.79,73.89,604.54,21.6,39.11,89.28,Yes,35,0.37,11,44.26,90.9,Detected,98.11,96.59,19.88,74.98,142,55.29,918,77.23,0.397,61.97,Optimized
51,2024-02-08 21:03:00,WH_01,Zone_D,RACK_018,PROD_00237,44,388,267,127,119,90.99,759,70.35,93.59,54.95,47,6.66,2.59,16.3,2.75,0.19,63.73,66.72,706.41,10.61,39.71,65.35,Yes,36,0.64,11,40.59,82.16,Not Detected,83.82,75.95,23.63,40.6,145,15.12,855,94.42,0.957,76.2,Optimized
52,2024-02-11 20:54:00,WH_01,Zone_A,RACK_052,PROD_00389,203,744,82,2,55,95.06,402,48.26,85.51,56.1,61,12.38,2.2,19.31,1.79,0.19,75.55,62.86,329.42,14.54,77.34,74.38,Yes,11,0.93,17,31.91,19.19,Not Detected,94.46,34.06,24.35,49.92,123,30.24,549,94.41,0.226,84.2,Optimized
53,2024-07-18 21:57:00,WH_09,Zone_C,RACK_050,PROD_00144,50,585,248,14,163,90.09,195,49.47,93.81,39.05,42,10.84,13.15,25.66,2.13,0.33,39.8,89.45,852.17,14.03,28.49,58.35,No,39,0.65,2,34.35,85.04,Detected,98.84,62.83,30.04,63.51,121,56.09,606,44.75,0.24,91.73,Optimized
54,2024-10-12 17:32:00,WH_07,Zone_A,RACK_004,PROD_00092,191,532,182,13,25,94.37,878,49.1,84.21,37.22,50,17.49,6.24,29.17,2.87,2.53,40.97,64.24,406.62,8.53,68.94,72.1,No,56,0.4,3,26.56,15.42,Detected,92.19,38.5,19.7,35.21,98,29.46,576,41.13,0.087,71.55,Optimized
55,2024-11-29 19:08:00,WH_05,Zone_C,RACK_078,PROD_00206,255,587,52,152,153,97.84,414,45.67,76.55,46.97,31,10.94,4.2,18.81,1.0,1.73,59.52,25.06,458.17,13.0,61.32,58.46,No,20,0.78,16,67.5,19.55,Detected,74.06,10.61,24.33,68.66,117,49.22,637,61.41,0.431,91.18,Optimized
56,2024-07-24 17:32:00,WH_07,Zone_E,RACK_005,PROD_00369,284,341,95,101,81,92.91,731,79.18,98.71,47.14,41,7.7,12.61,24.06,0.93,3.14,66.46,63.65,673.09,15.45,96.48,75.77,Yes,33,0.84,3,85.52,79.57,Not Detected,90.19,22.53,22.85,45.11,59,44.34,686,39.44,0.991,73.96,Optimized
57,2024-08-31 03:28:00,WH_08,Zone_C,RACK_009,PROD_00308,32,628,48,27,63,96.58,383,53.98,84.51,34.23,51,17.45,6.31,30.33,0.91,0.63,40.54,79.75,565.45,18.07,41.58,71.84,No,54,0.74,17,32.06,99.77,Not Detected,73.14,47.44,33.39,39.64,56,24.16,651,62.32,0.207,74.15,Optimized
58,2024-09-27 20:20:00,WH_10,Zone_D,RACK_079,PROD_00402,68,849,63,5,87,96.48,713,88.2,97.2,44.69,66,4.38,4.08,13.38,3.38,1.35,53.35,34.76,637.22,13.21,27.19,82.63,Yes,33,0.67,13,20.36,21.48,Not Detected,92.57,82.79,19.0,39.07,67,25.12,501,62.45,0.262,93.13,Optimized
59,2024-07-31 22:53:00,WH_08,Zone_D,RACK_022,PROD_00085,299,376,185,117,158,91.73,709,83.12,71.9,37.25,10,12.59,6.07,21.33,0.94,2.12,34.9,51.08,598.89,15.92,56.73,76.9,Yes,40,0.33,10,31.22,31.46,Not Detected,88.58,87.9,33.23,54.38,69,49.84,875,65.33,0.495,84.23,Optimized
60,2024-12-29 19:40:00,WH_07,Zone_B,RACK_079,PROD_00143,115,51,117,74,8,92.75,570,60.59,91.23,34.37,63,10.57,3.47,15.84,2.85,4.55,50.68,85.81,116.2,18.66,65.98,99.54,Yes,52,0.86,8,43.82,99.93,Not Detected,77.88,87.6,19.39,69.61,50,47.66,542,47.59,0.738,84.46,Optimized
61,2024-02-17 12:32:00,WH_05,Zone_F,RACK_048,PROD_00466,259,853,110,15,145,93.51,307,77.23,66.74,58.76,37,6.27,5.48,18.76,3.46,3.77,31.67,97.02,763.55,22.46,99.44,94.02,Yes,49,0.89,8,31.7,32.21,Detected,92.84,70.86,25.83,58.1,88,39.53,684,62.12,0.634,94.01,Optimized
62,2024-12-01 11:16:00,WH_02,Zone_C,RACK_022,PROD_00054,212,355,6,23,117,96.35,734,64.34,62.53,32.53,27,17.47,12.72,34.65,1.54,1.63,63.31,30.45,821.61,19.98,92.06,89.3,Yes,11,0.7,15,21.3,92.94,Detected,83.24,10.06,33.33,43.09,53,53.52,609,44.54,0.933,63.7,Optimized
63,2024-12-17 14:55:00,WH_04,Zone_A,RACK_013,PROD_00144,73,660,161,179,59,94.29,113,83.0,60.04,29.13,16,11.3,8.75,24.17,0.62,1.96,33.44,88.83,683.81,14.08,42.17,59.02,Yes,11,0.45,10,30.97,77.35,Detected,89.25,70.94,19.09,57.53,62,29.21,518,72.68,0.151,70.59,Optimized
64,2024-02-07 00:37:00,WH_02,Zone_A,RACK_034,PROD_00221,30,623,201,89,109,93.15,163,58.38,85.78,15.64,36,14.35,10.98,32.27,2.51,1.73,61.24,60.76,730.62,10.62,29.09,95.41,Yes,36,0.51,8,59.97,59.39,Detected,99.61,94.05,20.11,69.43,127,25.1,999,45.37,0.471,99.37,Optimized
65,2024-09-24 16:50:00,WH_05,Zone_B,RACK_048,PROD_00130,147,81,208,129,73,96.29,533,86.42,76.94,24.73,68,10.37,3.98,15.94,0.83,5.07,93.2,32.43,364.27,16.14,82.24,84.24,Yes,24,0.76,8,24.63,8.62,Not Detected,73.48,65.11,18.88,61.64,64,11.57,440,77.09,0.164,97.65,Optimized
66,2024-02-09 18:23:00,WH_02,Zone_E,RACK_007,PROD_00184,124,770,65,7,85,98.07,298,73.29,70.52,58.53,9,9.69,8.64,19.72,3.09,1.0,36.01,81.87,858.01,17.81,33.65,88.34,Yes,7,0.89,1,39.56,47.18,Not Detected,97.61,26.11,33.37,36.41,127,17.35,554,59.98,0.72,63.56,Optimized
67,2024-03-13 22:17:00,WH_02,Zone_A,RACK_030,PROD_00533,221,843,269,11,102,90.69,496,91.77,90.94,19.33,11,10.63,2.1,15.13,2.24,1.74,68.59,57.11,594.77,14.37,82.95,63.79,Yes,14,0.21,14,21.91,54.15,Detected,98.53,10.13,28.52,68.96,98,10.72,842,93.99,0.42,98.06,Optimized
68,2024-06-04 22:44:00,WH_10,Zone_A,RACK_028,PROD_00336,85,737,195,117,21,95.81,537,52.21,92.8,5.41,7,8.68,14.53,25.87,1.36,1.8,81.06,76.06,719.76,11.04,45.4,58.36,Yes,13,0.82,4,32.43,16.44,Not Detected,79.42,20.87,23.73,65.81,135,21.96,571,86.15,0.09,90.38,Optimized
69,2024-10-20 13:52:00,WH_07,Zone_D,RACK_004,PROD_00392,228,113,132,91,101,95.13,713,61.14,92.8,11.26,51,15.6,9.23,29.68,0.87,0.65,80.57,29.72,133.65,19.84,41.67,63.92,No,28,0.75,3,66.59,25.88,Detected,70.65,15.8,32.44,52.74,52,10.06,639,42.35,0.942,52.53,Optimized
70,2024-08-29 16:22:00,WH_10,Zone_B,RACK_021,PROD_00103,136,196,186,54,47,92.75,476,92.7,61.39,37.53,31,12.18,8.49,27.85,1.99,0.57,51.81,53.54,639.11,20.15,43.69,99.73,Yes,29,0.83,12,58.37,78.14,Not Detected,97.38,55.22,24.21,42.19,101,37.84,330,88.75,0.779,52.93,Optimized
71,2024-06-14 01:01:00,WH_03,Zone_E,RACK_019,PROD_00114,279,692,128,68,136,98.16,774,48.02,99.86,13.95,49,7.35,12.91,27.18,1.11,3.3,81.43,75.81,875.16,5.54,77.54,97.64,Yes,41,0.96,16,63.37,17.56,Detected,72.71,30.94,21.5,56.06,20,23.25,928,47.09,0.13,85.85,Optimized
72,2024-03-13 10:47:00,WH_02,Zone_B,RACK_045,PROD_00328,95,393,42,95,180,99.42,425,76.64,73.46,20.03,20,13.58,7.68,26.73,2.01,1.81,74.5,64.96,853.95,16.66,51.76,84.95,Yes,29,0.45,10,30.19,72.88,Not Detected,95.52,79.37,27.08,42.28,101,55.66,926,48.25,0.566,96.83,Optimized
73,2024-02-17 10:38:00,WH_10,Zone_D,RACK_004,PROD_00442,94,671,50,171,163,97.29,363,69.12,70.61,15.72,8,7.28,12.23,25.55,0.74,2.47,54.38,33.31,440.2,21.75,51.34,71.89,No,55,0.89,8,33.01,7.37,Detected,78.85,38.68,33.23,37.97,63,53.84,464,78.92,0.547,94.91,Optimized
74,2024-04-05 14:02:00,WH_05,Zone_D,RACK_060,PROD_00270,125,641,227,40,13,91.01,230,97.62,76.37,33.69,69,5.88,5.66,14.2,0.74,3.19,83.79,32.29,393.92,13.12,47.09,84.79,No,17,0.28,7,33.67,29.18,Detected,84.21,20.4,30.56,53.84,87,10.01,857,58.25,0.371,69.07,Optimized
