Timestamp,Warehouse_ID,Section_ID,Shelf_ID,Product_ID,RFID_Tag_ID,Current_Stock_Level,Stock_Capacity,Temperature_C,Humidity_%,Order_ID,Order_Quantity,Order_Fulfillment_Time_sec,Picking_Route_ID,Agent_ID,Transport_Delay_sec,Actual_Demand,Target
2024-01-01 02:40:00,W2,A15,S28,P171,T79013,38,272,25.17,49.72,O8343,46,369,R032,Agt005,97,88,1
2024-01-01 02:50:00,W3,A09,S27,P108,T84607,9,177,20.44,35.26,O4516,36,217,R037,Agt045,6,57,1
2024-01-01 03:00:00,W1,A17,S07,P112,T16248,115,276,25.44,45.43,O1822,28,393,R042,Agt072,83,63,0
2024-01-01 03:10:00,W1,A13,S01,P128,T11967,125,236,19.88,56.28,O4431,24,192,R012,Agt081,65,41,0
2024-01-01 03:20:00,W3,A09,S05,P159,T52970,36,281,19.67,45.17,O9723,3,250,R021,Agt013,21,62,1
2024-01-01 03:30:00,W1,A10,S16,P142,T74970,131,237,27.66,51.63,O1710,9,150,R005,Agt043,10,52,0
2024-01-01 03:40:00,W3,A02,S06,P134,T27348,156,245,26.36,54.48,O9472,2,352,R020,Agt062,58,31,0
2024-01-01 03:50:00,W3,A06,S01,P120,T91130,44,191,21.46,47.32,O7547,32,445,R025,Agt089,43,24,0
2024-01-01 04:00:00,W2,A04,S30,P137,T56204,87,201,22.45,64.19,O5921,21,259,R045,Agt004,59,53,0
2024-01-01 04:10:00,W1,A04,S20,P147,T53138,150,169,22.63,68.64,O9400,18,480,R046,Agt042,97,61,0
2024-01-01 04:20:00,W1,A14,S18,P112,T78817,117,153,26.87,36.21,O4219,47,340,R018,Agt087,37,19,0
2024-01-01 04:30:00,W3,A06,S10,P105,T33673,28,176,22.1,41.93,O5848,11,251,R017,Agt093,37,26,0
2024-01-01 04:40:00,W2,A09,S10,P198,T52021,84,286,24.87,49.89,O8683,15,440,R016,Agt009,56,72,0
2024-01-01 04:50:00,W2,A07,S17,P102,T50237,113,244,26.11,59.07,O3993,35,106,R035,Agt027,1,110,0
2024-01-01 05:00:00,W2,A06,S03,P174,T61635,135,271,25.53,51.61,O1588,28,342,R032,Agt040,49,108,0
2024-01-01 05:10:00,W2,A03,S13,P194,T74047,38,240,18.19,62.27,O1886,49,400,R022,Agt015,20,97,1
2024-01-01 05:20:00,W3,A01,S29,P127,T45563,123,298,26.7,40.53,O8768,1,201,R016,Agt075,81,106,0
2024-01-01 05:30:00,W2,A19,S14,P113,T85904,73,274,25.11,57.26,O3163,33,174,R019,Agt054,42,25,0
2024-01-01 05:40:00,W2,A10,S11,P118,T54106,134,185,26.34,60.48,O8041,46,64,R022,Agt062,11,35,0
2024-01-01 05:50:00,W2,A10,S05,P169,T69416,188,252,25.44,49.72,O7199,46,167,R026,Agt029,74,34,0
2024-01-01 06:00:00,W3,A03,S25,P133,T56646,59,275,24.01,49.58,O3858,37,419,R003,Agt021,17,104,1
2024-01-01 06:10:00,W1,A13,S24,P153,T82833,121,157,20.82,58.31,O4206,24,473,R013,Agt096,106,17,0
2024-01-01 06:20:00,W3,A19,S22,P107,T35502,18,297,20.89,42.57,O4441,49,238,R001,Agt078,56,96,1
2024-01-01 06:30:00,W2,A14,S21,P177,T23879,96,180,26.29,38.26,O1666,42,212,R024,Agt059,47,117,1
2024-01-01 06:40:00,W3,A06,S27,P182,T26866,129,278,18.35,39.43,O8430,48,248,R036,Agt028,66,31,0
2024-01-01 06:50:00,W2,A01,S07,P107,T30673,70,187,26.3,58.1,O9928,37,307,R018,Agt012,31,45,0
2024-01-01 07:00:00,W1,A08,S01,P187,T45465,186,208,19.43,66.18,O4009,24,420,R025,Agt059,37,97,0
2024-01-01 07:10:00,W3,A04,S15,P143,T92079,192,250,22.66,44.12,O7851,6,137,R044,Agt070,21,71,0
2024-01-01 07:20:00,W1,A11,S26,P190,T77398,68,210,24.47,59.73,O3686,16,130,R026,Agt092,96,101,1
2024-01-01 07:30:00,W2,A18,S27,P112,T71756,116,156,25.31,62.34,O7879,49,377,R029,Agt073,20,12,0
2024-01-01 07:40:00,W1,A19,S10,P177,T46284,55,291,27.04,49.44,O8221,34,50,R031,Agt063,116,19,0
2024-01-01 07:50:00,W1,A03,S06,P166,T53409,32,150,27.97,46.21,O6938,46,306,R003,Agt091,69,106,1
2024-01-01 08:00:00,W1,A04,S28,P104,T23816,29,191,25.13,35.71,O4345,46,150,R042,Agt099,118,59,1
2024-01-01 08:10:00,W2,A01,S14,P179,T29673,177,239,27.28,43.57,O6445,3,478,R034,Agt009,117,26,0
2024-01-01 08:20:00,W2,A20,S27,P140,T11428,59,199,24.72,63.92,O8690,28,234,R007,Agt052,89,95,1
2024-01-01 08:30:00,W1,A15,S22,P175,T33357,60,215,19.2,58.68,O2482,19,70,R035,Agt005,51,97,1
2024-01-01 08:40:00,W2,A07,S14,P131,T88851,134,182,20.44,61.67,O8897,6,152,R020,Agt073,38,99,0
2024-01-01 08:50:00,W3,A10,S29,P189,T91104,188,157,19.04,51.66,O5151,1,78,R014,Agt006,46,78,0
2024-01-01 09:00:00,W2,A10,S15,P126,T75994,155,201,23.48,41.23,O7902,2,399,R029,Agt020,20,60,0
2024-01-01 09:10:00,W3,A10,S21,P195,T98552,182,235,18.53,38.39,O1796,29,252,R037,Agt063,28,16,0
2024-01-01 09:20:00,W1,A18,S22,P158,T70263,138,231,22.57,52.53,O4544,26,331,R011,Agt043,93,68,0
2024-01-01 09:30:00,W3,A05,S23,P101,T83698,178,164,21.49,49.49,O9347,39,173,R017,Agt051,101,115,0
2024-01-01 09:40:00,W1,A04,S18,P198,T37161,192,222,27.6,55.35,O9047,7,409,R002,Agt065,67,47,0
2024-01-01 09:50:00,W2,A19,S10,P116,T76367,195,211,18.39,66.72,O5513,34,89,R048,Agt097,34,65,0
2024-01-01 10:00:00,W1,A12,S06,P180,T79644,84,188,27.35,60.88,O3123,24,245,R009,Agt044,115,49,0
2024-01-01 10:10:00,W1,A05,S10,P174,T38223,29,223,24.92,46.55,O6904,32,132,R031,Agt033,116,47,1
2024-01-01 10:20:00,W2,A10,S25,P169,T82171,129,275,20.12,59.16,O9379,43,489,R012,Agt045,8,79,0
2024-01-01 10:30:00,W2,A09,S25,P165,T41191,14,273,24.22,64.84,O5908,34,431,R004,Agt086,110,22,1
2024-01-01 10:40:00,W1,A01,S27,P135,T76207,135,185,25.9,41.45,O8117,46,366,R012,Agt081,115,93,0
2024-01-01 10:50:00,W1,A03,S13,P187,T76741,160,286,18.59,42.98,O6841,32,483,R015,Agt098,39,107,0
2024-01-01 11:00:00,W2,A03,S26,P103,T16205,148,270,21.79,41.82,O3923,25,108,R003,Agt022,119,69,0
2024-01-01 11:10:00,W2,A07,S16,P163,T52343,187,214,25.98,56.54,O9305,32,190,R037,Agt068,0,48,0
2024-01-01 11:20:00,W1,A02,S02,P160,T41860,96,245,23.33,40.61,O8023,40,145,R037,Agt034,69,11,0
2024-01-01 11:30:00,W1,A09,S20,P195,T85964,12,156,20.77,44.04,O4047,17,24,R012,Agt061,39,22,1
2024-01-01 11:40:00,W3,A03,S25,P115,T60368,180,208,21.83,37.25,O9662,10,444,R005,Agt071,53,113,0
2024-01-01 11:50:00,W3,A10,S13,P125,T76786,167,285,20.12,69.86,O4471,26,258,R019,Agt010,8,11,0
2024-01-01 12:00:00,W2,A18,S16,P166,T17717,34,239,18.69,63.51,O1173,17,45,R034,Agt095,26,84,1
2024-01-01 12:10:00,W3,A03,S07,P166,T31342,181,180,25.68,45.68,O3104,17,213,R045,Agt022,37,51,0
2024-01-01 12:20:00,W2,A05,S18,P181,T57891,8,273,26.63,55.62,O1980,47,190,R033,Agt045,21,110,1
2024-01-01 12:30:00,W3,A03,S18,P100,T79237,165,160,20.92,67.47,O5782,38,250,R014,Agt067,99,110,0
2024-01-01 12:40:00,W1,A14,S06,P118,T30783,90,285,22.85,68.37,O4884,3,121,R007,Agt017,79,37,0
2024-01-01 12:50:00,W2,A09,S25,P138,T43747,6,265,24.43,39.36,O6188,12,432,R036,Agt079,10,20,1
2024-01-01 13:00:00,W3,A20,S15,P165,T43383,169,162,24.09,51.7,O5557,48,243,R003,Agt035,25,68,0
2024-01-01 13:10:00,W1,A04,S03,P155,T47346,196,150,23.0,59.11,O4726,25,318,R017,Agt027,45,23,0
2024-01-01 13:20:00,W3,A17,S11,P100,T50473,107,236,22.5,50.07,O9798,2,434,R030,Agt075,8,87,0
2024-01-01 13:30:00,W2,A12,S14,P179,T57254,182,277,24.29,54.91,O6699,7,193,R016,Agt013,59,31,0
2024-01-01 13:40:00,W3,A20,S15,P145,T97845,8,194,19.65,45.89,O4770,23,63,R019,Agt020,20,116,1
2024-01-01 13:50:00,W2,A19,S07,P103,T96633,185,170,18.98,64.26,O3875,44,446,R002,Agt079,35,113,0
2024-01-01 14:00:00,W3,A14,S27,P191,T38218,96,262,25.95,39.8,O6816,23,76,R043,Agt058,30,28,0
2024-01-01 14:10:00,W1,A10,S14,P135,T56676,156,276,22.38,66.52,O1316,28,257,R025,Agt060,83,85,0
2024-01-01 14:20:00,W3,A15,S12,P118,T16540,77,272,19.2,69.26,O6232,36,297,R049,Agt002,13,85,1
2024-01-01 14:30:00,W3,A04,S02,P153,T94540,124,184,21.1,69.31,O5831,38,467,R017,Agt063,5,23,0
2024-01-01 14:40:00,W1,A10,S19,P197,T68006,110,217,27.7,67.36,O1942,17,141,R005,Agt096,44,51,0
2024-01-01 14:50:00,W3,A04,S18,P138,T18577,22,277,23.42,67.88,O3626,12,39,R045,Agt032,70,81,1
2024-01-01 15:00:00,W1,A06,S21,P133,T58665,150,212,18.47,59.8,O2884,29,335,R038,Agt090,89,21,0
2024-01-01 15:10:00,W3,A04,S02,P146,T24707,58,195,18.25,60.91,O1350,3,415,R037,Agt043,66,64,1
2024-01-01 15:20:00,W1,A02,S02,P131,T81975,198,234,24.13,53.6,O1309,49,123,R002,Agt031,36,98,0
2024-01-01 15:30:00,W2,A09,S17,P167,T36076,69,152,19.04,60.68,O6513,48,134,R034,Agt085,114,90,1
2024-01-01 15:40:00,W3,A12,S17,P142,T56448,27,203,20.17,39.76,O3074,20,457,R003,Agt007,19,13,0
2024-01-01 15:50:00,W3,A18,S16,P144,T81846,152,295,18.97,53.3,O2283,42,402,R025,Agt091,86,21,0
2024-01-01 16:00:00,W2,A03,S28,P154,T59035,77,229,26.72,62.89,O7675,40,414,R010,Agt075,23,19,0
2024-01-01 16:10:00,W1,A09,S24,P101,T81907,86,184,21.32,41.14,O7122,21,341,R013,Agt052,61,32,0
2024-01-01 16:20:00,W2,A16,S19,P183,T94219,122,198,20.99,57.88,O2758,18,426,R023,Agt025,119,14,0
2024-01-01 16:30:00,W2,A11,S21,P172,T26991,20,207,23.07,50.8,O6075,43,70,R034,Agt013,102,65,1
2024-01-01 16:40:00,W3,A11,S26,P133,T96409,24,279,23.27,45.34,O5513,30,233,R044,Agt006,39,80,1
2024-01-01 16:50:00,W3,A16,S04,P100,T95121,38,244,20.87,68.05,O6601,14,36,R012,Agt038,46,61,1
2024-01-01 17:00:00,W2,A17,S01,P125,T77967,9,253,23.64,52.89,O7981,19,330,R006,Agt038,55,107,1
2024-01-01 17:10:00,W2,A18,S07,P111,T91751,192,219,21.28,62.78,O9028,19,64,R033,Agt096,47,100,0
2024-01-01 17:20:00,W1,A08,S18,P121,T65768,196,208,18.05,69.11,O9666,18,308,R023,Agt093,19,98,0
2024-01-01 17:30:00,W1,A04,S19,P125,T16320,78,281,25.57,37.87,O7093,42,107,R037,Agt043,93,72,0
2024-01-01 17:40:00,W2,A03,S29,P195,T49193,105,150,27.63,47.83,O1202,27,338,R022,Agt068,26,92,0
2024-01-01 17:50:00,W3,A11,S18,P169,T24156,96,270,27.91,45.4,O5335,46,230,R021,Agt064,88,54,0
2024-01-01 18:00:00,W1,A17,S28,P192,T16786,154,191,26.07,60.93,O3796,43,263,R015,Agt025,112,52,0
2024-01-01 18:10:00,W3,A08,S01,P125,T55724,144,274,25.33,36.2,O7379,41,266,R039,Agt054,89,103,0
2024-01-01 18:20:00,W2,A12,S21,P148,T68394,86,230,23.62,52.43,O2540,23,56,R001,Agt029,16,102,1
2024-01-01 18:30:00,W2,A18,S01,P188,T84187,61,216,25.79,68.65,O3166,37,73,R040,Agt047,32,112,1
2024-01-01 18:40:00,W1,A11,S08,P103,T23795,155,191,19.27,65.25,O5989,18,433,R017,Agt070,99,105,0
2024-01-01 18:50:00,W2,A02,S11,P157,T14465,29,150,19.28,63.36,O3452,45,456,R048,Agt029,102,33,1
2024-01-01 19:00:00,W3,A06,S22,P112,T51153,133,152,19.63,41.9,O4429,45,449,R005,Agt005,25,40,0
2024-01-01 19:10:00,W2,A19,S16,P161,T17410,179,157,21.01,58.66,O3133,20,311,R001,Agt048,7,20,0
2024-01-01 19:20:00,W3,A01,S01,P167,T96330,165,178,19.62,64.84,O9044,34,377,R028,Agt098,52,68,0
2024-01-01 19:30:00,W3,A08,S03,P113,T78621,20,233,23.44,61.99,O3477,41,257,R023,Agt023,35,110,1
2024-01-01 19:40:00,W3,A08,S02,P166,T10954,150,262,19.31,62.81,O1298,39,455,R011,Agt079,63,86,0
2024-01-01 19:50:00,W1,A07,S25,P182,T71439,94,258,21.31,49.63,O5364,15,108,R007,Agt095,87,74,0
2024-01-01 20:00:00,W1,A06,S15,P165,T71636,155,261,18.46,39.21,O7084,33,362,R014,Agt026,31,20,0
2024-01-01 20:10:00,W2,A07,S17,P143,T23323,139,159,18.71,48.63,O7245,32,264,R012,Agt010,64,49,0
2024-01-01 20:20:00,W3,A13,S28,P170,T36868,53,242,27.53,40.08,O6464,36,376,R037,Agt027,62,32,0
2024-01-01 20:30:00,W2,A05,S10,P162,T70119,127,177,20.26,62.06,O2089,13,316,R022,Agt062,14,64,0
2024-01-01 20:40:00,W2,A15,S14,P172,T94729,71,198,23.28,49.8,O9528,13,23,R020,Agt050,63,36,0
2024-01-01 20:50:00,W3,A03,S05,P103,T39900,193,294,24.16,60.9,O4473,39,53,R039,Agt063,19,84,0
2024-01-01 21:00:00,W1,A11,S20,P188,T50464,78,253,19.87,48.67,O2184,47,278,R047,Agt068,47,53,0
2024-01-01 21:10:00,W3,A16,S06,P197,T18529,115,179,24.18,69.85,O7820,32,71,R030,Agt074,23,78,0
2024-01-01 21:20:00,W1,A03,S09,P125,T35097,113,153,18.71,55.41,O5968,41,417,R001,Agt048,66,103,0
2024-01-01 21:30:00,W1,A16,S15,P149,T71322,73,281,23.61,48.34,O1378,1,182,R037,Agt026,29,88,1
2024-01-01 21:40:00,W3,A17,S08,P168,T47571,168,168,21.71,62.36,O5546,32,178,R010,Agt031,78,16,0
2024-01-01 21:50:00,W3,A19,S08,P169,T99639,38,155,25.78,53.85,O6307,17,269,R006,Agt078,4,100,1
2024-01-01 22:00:00,W3,A19,S05,P108,T18680,138,242,23.35,60.95,O7124,35,341,R002,Agt012,42,85,0
2024-01-01 22:10:00,W2,A03,S22,P128,T20906,16,225,20.42,52.11,O4063,12,189,R042,Agt067,115,105,1
2024-01-01 22:20:00,W2,A04,S29,P192,T55056,173,173,22.97,62.97,O1036,15,284,R024,Agt042,103,105,0
2024-01-01 22:30:00,W1,A08,S28,P116,T20387,22,273,26.24,49.58,O1270,30,261,R024,Agt025,60,75,1
2024-01-01 22:40:00,W3,A04,S10,P162,T82312,169,171,23.14,57.79,O3540,18,208,R047,Agt045,84,13,0
2024-01-01 22:50:00,W2,A11,S06,P151,T52776,171,170,26.63,49.41,O6241,49,33,R026,Agt028,86,68,0
2024-01-01 23:00:00,W2,A18,S17,P150,T58563,46,236,26.76,38.08,O2970,39,344,R008,Agt063,119,83,1
2024-01-01 23:10:00,W3,A11,S29,P148,T15158,20,164,26.71,42.28,O6860,27,404,R008,Agt031,86,36,1
2024-01-01 23:20:00,W1,A03,S05,P156,T96630,26,249,24.63,62.19,O6763,14,32,R016,Agt025,67,24,0
2024-01-01 23:30:00,W3,A02,S17,P109,T91772,25,172,20.84,57.71,O3114,18,248,R043,Agt042,8,114,1
2024-01-01 23:40:00,W3,A06,S17,P106,T62985,58,197,20.61,68.45,O4386,8,445,R028,Agt033,6,91,1
2024-01-01 23:50:00,W2,A17,S29,P186,T13924,99,194,18.64,68.67,O6656,2,148,R039,Agt053,6,54,0
2024-01-02 00:00:00,W1,A11,S19,P166,T13071,120,188,22.51,42.94,O6515,20,334,R032,Agt065,35,36,0
2024-01-02 00:10:00,W3,A06,S28,P131,T12677,166,239,21.04,39.01,O1999,27,61,R033,Agt043,10,111,0
2024-01-02 00:20:00,W3,A17,S05,P101,T21658,75,150,21.36,59.37,O1050,12,471,R036,Agt024,8,59,0
2024-01-02 00:30:00,W3,A10,S13,P121,T16307,117,175,19.35,62.06,O6283,6,78,R017,Agt018,61,60,0
2024-01-02 00:40:00,W3,A13,S24,P130,T77560,79,299,27.73,67.48,O3299,22,442,R022,Agt033,27,29,0
2024-01-02 00:50:00,W1,A02,S26,P189,T93712,139,212,26.59,54.64,O6108,47,227,R047,Agt067,98,45,0
2024-01-02 01:00:00,W2,A12,S26,P121,T97294,107,213,21.54,36.58,O2094,6,452,R046,Agt019,32,37,0
2024-01-02 01:10:00,W2,A12,S22,P110,T24271,16,207,26.4,59.42,O3726,39,349,R035,Agt042,65,13,0
2024-01-02 01:20:00,W2,A18,S26,P105,T10830,129,278,24.06,64.14,O6350,43,33,R011,Agt088,116,78,0
2024-01-02 01:30:00,W2,A03,S03,P126,T20143,131,274,21.96,38.24,O5346,21,374,R008,Agt025,42,63,0
2024-01-02 01:40:00,W3,A06,S03,P177,T77346,43,189,24.33,56.65,O9004,16,233,R044,Agt074,42,116,1
2024-01-02 01:50:00,W2,A19,S22,P195,T21281,57,196,22.31,48.59,O7122,15,306,R038,Agt033,55,100,1
2024-01-02 02:00:00,W1,A17,S21,P177,T35750,32,280,21.64,62.49,O1561,24,368,R025,Agt004,44,110,1
2024-01-02 02:10:00,W2,A06,S19,P104,T31906,43,217,23.73,65.43,O9959,31,191,R001,Agt021,32,82,1
2024-01-02 02:20:00,W3,A09,S19,P140,T43674,25,296,27.29,61.48,O9635,13,429,R027,Agt073,119,58,1
2024-01-02 02:30:00,W1,A14,S24,P150,T91811,19,154,25.01,43.99,O1669,31,214,R028,Agt047,24,37,1
2024-01-02 02:40:00,W3,A01,S10,P117,T41936,105,197,20.27,65.27,O2769,49,498,R007,Agt070,1,37,0
2024-01-02 02:50:00,W2,A11,S30,P106,T67463,11,262,23.79,46.24,O5399,17,252,R048,Agt052,83,103,1
2024-01-02 03:00:00,W1,A08,S24,P108,T10424,118,233,27.33,48.52,O4681,34,128,R037,Agt092,108,93,0
2024-01-02 03:10:00,W3,A04,S25,P112,T12760,125,198,24.32,46.34,O4551,2,406,R043,Agt001,2,54,0
2024-01-02 03:20:00,W2,A07,S16,P144,T31155,137,161,20.81,55.85,O5353,3,250,R026,Agt059,12,72,0
2024-01-02 03:30:00,W1,A04,S16,P153,T96749,9,247,22.29,61.76,O7000,16,263,R039,Agt090,109,69,1
2024-01-02 03:40:00,W1,A06,S08,P171,T38300,135,203,25.81,39.62,O5574,38,495,R022,Agt025,24,57,0
2024-01-02 03:50:00,W2,A07,S05,P107,T85482,56,261,25.9,53.52,O9527,15,177,R014,Agt072,46,114,1
2024-01-02 04:00:00,W3,A18,S20,P167,T50136,124,268,24.29,35.77,O4653,34,155,R025,Agt018,75,80,0
2024-01-02 04:10:00,W2,A07,S29,P195,T63946,52,161,26.76,58.7,O2534,45,120,R026,Agt056,47,74,1
2024-01-02 04:20:00,W1,A02,S09,P116,T23757,79,250,19.98,58.91,O1238,48,265,R020,Agt049,109,65,0
2024-01-02 04:30:00,W1,A06,S22,P193,T69960,166,203,18.14,40.47,O5250,1,473,R025,Agt031,90,29,0
2024-01-02 04:40:00,W2,A10,S16,P123,T27650,73,178,26.82,66.66,O5914,32,284,R049,Agt090,95,43,0
2024-01-02 04:50:00,W3,A15,S06,P135,T36141,146,179,18.01,62.98,O5557,45,357,R021,Agt027,63,13,0
2024-01-02 05:00:00,W1,A18,S15,P116,T61190,153,160,20.3,55.09,O3652,28,288,R009,Agt079,92,88,0
2024-01-02 05:10:00,W2,A13,S05,P123,T31500,85,299,18.28,48.88,O2434,3,383,R017,Agt075,31,12,0
2024-01-02 05:20:00,W1,A14,S09,P135,T42159,188,248,22.17,42.3,O6160,9,406,R012,Agt011,116,38,0
2024-01-02 05:30:00,W2,A13,S29,P199,T62067,105,156,20.42,39.29,O1461,25,130,R046,Agt078,73,17,0
2024-01-02 05:40:00,W1,A15,S18,P168,T44272,90,279,21.72,55.76,O1397,42,49,R033,Agt099,108,51,0
2024-01-02 05:50:00,W2,A16,S28,P198,T50213,199,291,27.12,48.09,O2791,19,407,R034,Agt009,91,91,0
2024-01-02 06:00:00,W1,A10,S10,P120,T70305,25,257,19.07,35.45,O8328,26,382,R044,Agt007,62,69,1
2024-01-02 06:10:00,W3,A06,S30,P170,T74685,83,184,22.94,57.38,O4564,14,125,R009,Agt038,40,68,0
2024-01-02 06:20:00,W1,A03,S13,P192,T88519,158,180,23.43,44.08,O1097,47,122,R002,Agt096,74,107,0
2024-01-02 06:30:00,W3,A06,S22,P181,T66917,64,253,20.39,48.83,O6498,9,172,R017,Agt053,92,33,0
2024-01-02 06:40:00,W1,A15,S17,P167,T79380,150,263,24.9,68.2,O9921,46,337,R015,Agt058,118,97,0
2024-01-02 06:50:00,W3,A06,S26,P126,T98904,61,281,21.77,47.19,O8152,33,110,R002,Agt011,63,14,0
2024-01-02 07:00:00,W2,A03,S19,P139,T98188,80,181,19.11,51.59,O2780,12,59,R027,Agt055,101,12,0
2024-01-02 07:10:00,W2,A12,S17,P155,T98437,20,186,26.92,35.05,O3585,15,460,R032,Agt002,41,113,1
2024-01-02 07:20:00,W2,A18,S06,P109,T26178,138,211,25.45,55.11,O1898,38,319,R005,Agt067,34,59,0
2024-01-02 07:30:00,W1,A02,S04,P118,T19404,148,230,25.62,40.7,O9607,43,358,R043,Agt070,84,42,0
2024-01-02 07:40:00,W2,A20,S20,P175,T89763,118,218,23.54,52.51,O7644,20,323,R049,Agt050,109,79,0
2024-01-02 07:50:00,W1,A16,S10,P106,T67352,170,209,18.82,53.9,O6973,31,402,R044,Agt093,75,75,0
2024-01-02 08:00:00,W2,A17,S17,P124,T30199,186,157,27.55,41.36,O4800,6,117,R009,Agt012,50,53,0
2024-01-02 08:10:00,W3,A10,S15,P152,T52197,14,299,26.76,49.41,O8681,18,101,R037,Agt043,8,69,1
2024-01-02 08:20:00,W3,A20,S19,P102,T12982,159,188,27.93,39.49,O8527,7,53,R011,Agt024,110,107,0
2024-01-02 08:30:00,W3,A15,S04,P158,T47042,83,172,21.95,53.57,O5310,25,317,R005,Agt042,18,103,1
2024-01-02 08:40:00,W2,A19,S26,P137,T70875,85,192,21.57,62.92,O1207,37,197,R034,Agt096,112,78,0
2024-01-02 08:50:00,W1,A13,S21,P146,T75924,113,201,24.89,61.68,O1428,11,36,R035,Agt058,52,115,1
2024-01-02 09:00:00,W2,A06,S11,P108,T56655,100,270,22.17,37.09,O2793,3,150,R039,Agt091,14,28,0
2024-01-02 09:10:00,W1,A04,S29,P172,T93211,22,163,27.82,54.03,O2615,15,358,R043,Agt066,104,76,1
2024-01-02 09:20:00,W2,A08,S19,P141,T19632,68,162,18.93,66.49,O8305,47,406,R028,Agt085,86,33,0
2024-01-02 09:30:00,W1,A10,S07,P164,T99102,56,152,22.48,48.46,O8202,14,309,R004,Agt034,30,62,1
2024-01-02 09:40:00,W3,A13,S23,P147,T51445,168,217,22.93,59.35,O2190,13,395,R045,Agt023,70,102,0
2024-01-02 09:50:00,W1,A13,S01,P100,T22657,167,278,22.48,45.21,O3209,25,176,R004,Agt021,102,115,0
2024-01-02 10:00:00,W3,A11,S22,P147,T75602,192,278,26.61,64.73,O4453,35,357,R019,Agt090,103,104,0
2024-01-02 10:10:00,W1,A17,S22,P109,T10095,132,251,23.86,37.72,O6637,47,399,R049,Agt010,63,55,0
2024-01-02 10:20:00,W3,A05,S04,P116,T52019,39,237,20.39,67.5,O2580,40,47,R006,Agt092,24,88,1
2024-01-02 10:30:00,W2,A16,S10,P192,T31440,137,252,25.14,51.35,O8032,9,180,R018,Agt088,29,27,0
2024-01-02 10:40:00,W2,A10,S20,P145,T32483,92,295,27.68,39.57,O6827,8,162,R029,Agt056,114,58,0
2024-01-02 10:50:00,W3,A17,S16,P187,T24505,22,226,25.48,50.61,O1611,38,86,R001,Agt061,111,20,0
2024-01-02 11:00:00,W2,A03,S07,P126,T59215,83,245,26.49,41.28,O1100,18,375,R004,Agt057,104,112,1
2024-01-02 11:10:00,W3,A12,S08,P108,T59228,111,184,27.44,36.27,O5115,47,25,R023,Agt075,71,21,0
2024-01-02 11:20:00,W2,A07,S23,P156,T66187,197,272,19.57,42.84,O4463,48,356,R015,Agt070,80,77,0
2024-01-02 11:30:00,W2,A10,S13,P112,T92320,14,165,24.76,62.41,O4558,30,369,R044,Agt094,22,119,1
2024-01-02 11:40:00,W2,A07,S22,P117,T73731,9,261,20.31,55.91,O6768,35,352,R036,Agt083,115,80,1
2024-01-02 11:50:00,W3,A11,S24,P112,T79266,15,161,24.63,45.26,O6259,39,90,R044,Agt074,8,91,1
2024-01-02 12:00:00,W2,A09,S19,P179,T93110,120,196,19.66,37.05,O4616,27,357,R014,Agt068,18,16,0
